2.748665564602685296e-01,4.097498029890533910e-01,5.446348958146045582e-01,6.796140202581576473e-01,5.446348958146045582e-01
2.618319298585608523e-01,4.432732935004964903e-01,6.247860145023281797e-01,4.432732935004964903e-01,2.618319298585608523e-01
1.976805451844045602e-01,3.770695025265529132e-01,5.564605538844275001e-01,7.360061809308701131e-01,5.564605538844275001e-01
1.356102822498831961e-01,3.532322430747890096e-01,5.708542038996955448e-01,7.885848086548691294e-01,5.708542038996955448e-01
4.951393480598872271e-02,3.163400556636810634e-01,5.831661765213728144e-01,8.501589762716519338e-01,5.831661765213728144e-01
3.764734841921562603e-01,5.305152409026661076e-01,6.846615696936669826e-01,5.305152409026661076e-01,3.764734841921562603e-01
9.999999999999826736e-03,9.581201073390319123e-02,3.373726157345058874e-01,5.789332207351087778e-01,8.207228539911581855e-01
8.195457770184512158e-01,5.782728098636532588e-01,3.371387590907033438e-01,9.600470831775281821e-02,9.999999999999826736e-03
5.558251448397970584e-01,7.223861927749878342e-01,5.558251448397970584e-01,3.893907547973535221e-01,2.229563647549094030e-01
2.994722542791615760e-01,4.139399480119054231e-01,5.284076417446494922e-01,6.428753354773912854e-01,7.575305460169700078e-01
2.247440494249400011e-01,4.056040934863869296e-01,5.864641375478342189e-01,7.674662104238200167e-01,5.864641375478342189e-01
1.744149406289937365e-01,3.682689551729622091e-01,5.621229697169307649e-01,7.560982054185917400e-01,5.621229697169307649e-01
9.999999999999826736e-03,9.999999999999826736e-03,2.522202756049211070e-01,5.516825748759957015e-01,8.513747789089648466e-01
9.999999999999826736e-03,2.556752599503848630e-02,3.087552431776308670e-01,5.919429603602228696e-01,8.754253442496235937e-01
